1000469	ad	36	1
1000650	ad	323	13
1000661	ad	40	0
1000699	ad	24	0
1000750	ad	58	3
1000808	ad	53	1
1000816	ad	50	9
1000827	ad	35	3
1000829	ad	59	4
1000830	ad	40	5
1000972	ad	48	2
1001018	ad	32	4
1001069	ad	67	0
1001101	ad	24	0
1001197	ad	37	1
1001432	ad	34	1
1001748	ad	30	0
10060399	ad	35	1
10060486	ad	83	2
10060488	ad	33	0
10060491	ad	69	0
10060495	ad	190	4
10061236	ad	105	3
10061237	ad	207	5
10066287	ad	40	0
10082752	ad	111	5
10082753	ad	115	4
10082755	ad	134	5
10082762	ad	48	3
10096925	ad	76	0
10096927	ad	233	1
10097108	ad	197	0
1009757	ad	685	18
1009759	ad	117	1
10097690	ad	44	1
10098500	ad	24	0
10098509	ad	89	0
1009865	ad	74	0
10099943	ad	150	9
10101533	ad	29	0
10109065	ad	113	4
10110254	ad	340	27
10110257	ad	67	4
10110267	ad	22	0
10110269	ad	36	1
10110271	ad	46	3
10110276	ad	58	0
10110277	ad	317	10
10110280	ad	53	3
10110281	ad	21	0
10110284	ad	42	2
10110285	ad	70	2
10110286	ad	244	5
10110287	ad	364	12
10110289	ad	155	5
10110292	ad	42	0
10110293	ad	61	3
10110294	ad	32	6
10110295	ad	195	8
10110296	ad	339	4
10110297	ad	37	1
10110298	ad	40	0
10110299	ad	31	0
10110300	ad	25	1
10110302	ad	715	33
10110304	ad	38	0
10110305	ad	73	2
10110306	ad	91	2
10110307	ad	725	31
10110313	ad	83	4
10110316	ad	48	1
10110317	ad	49	2
10110318	ad	28	1
10110320	ad	74	1
10110321	ad	30	1
10110322	ad	36	1
10110324	ad	63	2
10110325	ad	34	2
10110327	ad	30	0
10110328	ad	114	3
10110330	ad	37	1
10110333	ad	36	1
10110334	ad	30	1
10110335	ad	30	0
10110342	ad	98	7
10110343	ad	71	0
10110344	ad	89	5
10110347	ad	46	1
10110348	ad	180	5
10110349	ad	110	5
10110351	ad	29	0
10110354	ad	80	3
10110355	ad	72	0
10110356	ad	70	4
10110357	ad	123	6
10110358	ad	37	1
10110359	ad	22	0
10110361	ad	26	0
10110362	ad	59	5
10110363	ad	21	2
10110366	ad	22	0
10110367	ad	284	11
10110370	ad	103	5
10110371	ad	137	9
10110373	ad	44	4
10110375	ad	617	38
10110376	ad	174	8
10110377	ad	43	1
10110378	ad	190	2
10110384	ad	348	11
10110385	ad	86	0
10110389	ad	552	23
10110390	ad	75	0
10110391	ad	99	2
10110392	ad	70	4
10110395	ad	196	8
10110396	ad	98	3
10110403	ad	4527	200
10110406	ad	439	21
10110407	ad	417	22
10110408	ad	241	9
10110409	ad	144	11
10110410	ad	205	5
10110419	ad	38	0
10110420	ad	23	1
10110423	ad	66	4
10110431	ad	35	3
10110435	ad	24	0
10110438	ad	37	1
10110444	ad	30	0
10110445	ad	44	1
10110452	ad	92	1
10110460	ad	42	3
10110461	ad	907	14
10110463	ad	24	0
10110464	ad	47	0
10110467	ad	96	0
10110471	ad	46	4
10110475	ad	77	1
10110476	ad	56	6
10110479	ad	42	3
10110480	ad	49	1
10110482	ad	82	2
10110485	ad	29	0
10110487	ad	42	3
10110490	ad	26	3
10110492	ad	75	1
10110494	ad	39	1
10110498	ad	31	1
10110499	ad	37	3
10110503	ad	40	3
10110505	ad	83	1
10110506	ad	129	3
10110509	ad	120	4
10110510	ad	75	1
10110513	ad	39	1
10110522	ad	21	0
10110523	ad	46	0
10110524	ad	24	2
10110528	ad	70	2
10110530	ad	434	7
10110532	ad	28	0
10110533	ad	72	2
10110552	ad	54	1
10110559	ad	32	0
10110560	ad	65	0
10110574	ad	42	2
10111794	ad	67	0
10111795	ad	46	1
10112474	ad	28	1
10112477	ad	114	3
10112520	ad	25	3
10112523	ad	35	1
10122004	ad	49	1
1012618	ad	209	0
1012974	ad	105	1
1014227	ad	30	0
1014334	ad	68	1
10151752	ad	66	3
